EN,NT,Sem. Cat.,Sub Sem. Cat.,Speaker 1,Speaker 2,Source
wind blowing back and forth,nétsʼíʼ nétsʼíʼ,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wind blowing back and forth,dzenú nétsʼíʼ,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
cold wind,intsʼi kʼóʼ,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
cold wind,netsʼi kʼóʼ,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
"cold wind which ""chases away"" the warm weather ",nádzát nétsʼíʼ,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
"cold ""pinching"" East wind",hutsʼák nétsʼíʼ,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
warm wind,intsʼi dhaw,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
warm wind,netsʼi dhaw,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
whirlwind,hetsʼembe,sky and weather,wind,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
awl,inchúʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
axe,khwat,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
double axe,ełetsʼínʼ ukʼéʼ,tools,axe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
double axe,húnlin,tools,axe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
axe handle,khwat tínʼ,tools,axe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
axe handle,khwat chínʼ,tools,axe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
stone axe,tetthyan,tools,axe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
stone axe,tetthyan,tools,axe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
chisel,dechan tándáʼ,tools,chisel,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
caribou-bone chisel,náttha,tools,chisel,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
drill,uzhí hetsʼedetáʼ,tools,drill,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
file,kʼédéʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
hammer,hámra,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
hand plane,dechan uyí tsʼegháʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
hatchet,khwat zra,tools,axe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
ice chisel,tanda,tools,chisel,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
knife,mbra,tools,knife,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
knife blade,mbra kʼéʼ,tools,knife,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pocket knife,mbra zra,tools,knife,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pocket knife,mbra taaintlʼaga,tools,knife,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wood knife,mbra uyí utsʼegháʼ,tools,knife,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wood knife,uyí tsʼotsi mbráʼ,tools,knife,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
sharp knife,mbra détʼóʼ,tools,knife,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
dull knife,mbra ukʼé hedúʼ,tools,knife,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
metal,mezan,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
iron,mezan,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
nails,etsáwʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pipe (metal),mezan dhyawn,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pipe (metal),mezan dhyan,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pliers,mezan adeʼáʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pump,tu hetthʼúnʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
rake,uyí hutsʼetsʼat,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
rope,tlʼyaw,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
knot,sráʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
saw,dechan tʼáʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
screw,dechan hetsʼedetáʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
screwdriver,uyí hetsʼedetáʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
scythe,tlʼo uyí tsʼetʼáʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grass cutter,tlʼo uyí tsʼetʼáʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
sewing needle,sagaw,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
shovel,uyí hutsʼegwat,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
skin flesher,táángwat,tools,tanning,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
skin scraping pole,edhó zrúʼ,tools,tanning,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
skin stretcher,eka,tools,tanning,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
showshoe chisel,eghúʼ,tools,chisel,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
showshoe chisel,tsʼighúʼ,tools,chisel,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
showshoe drill,srúʼ,tools,drill,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
snowshoe drill,sru hegáwʼ,tools,drill,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
snowshoe tools,e ínmbóʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
snowshoe tools,syáʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
snowshoe tools,sru hugáwʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
tacks,etsáwʼ zra,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
tanning scraper,déddho,tools,tanning,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wedge,ndaw,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wedge,mezan uyí tso tsʼesyát,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
whetstone,tthékʼráʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wire,mezan tlʼyaw,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wire cutter,mezan uyí ketsʼetʼáʼ,tools,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
boat,tsʼi,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
scow,tsʼi,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
canoe,tsʼi,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
back of boat,tsʼi tlʼéʼ,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
front of boat,tsʼi tthíʼ,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
skin of boat,edhóʼ tsʼi,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
square boat,tsʼi utlʼé kʼintʼra,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
canoe,tsʼi zra,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
canoe,tsʼi delrúnʼ,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
birchbark canoe,kʼi tsʼi,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
crosspiece (canoe),tsʼi íntthʼáʼ,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
ribs (canoe),nághwát,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
paddle,tátʼo,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pole for boat,tsʼi tóʼ,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
raft,khwánʼ,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
2-log raft,tso łékechʼi ghwánʼ,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
sled,khaw,transportation,sled,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
handlebars (sled),khaw uchin utsʼedinyat,transportation,sled,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
snowshoe,e,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
babiche (snowshoe),e íntlʼyáwʼ,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
back of snowshoe,e chedúnʼ,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
frame (snowshoe),e déchánʼ,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
front crosspiece (of a snowshoe),e dzeddháw íntthʼáʼ,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
hunting snowshoe,e cho,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
joint (snowshoe),tsʼetak,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
foot part (snowshoe),e kenłan,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
netting (snowshoe),e neghat,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
netting (snowshoe),e ghat,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pointed-nose snowshoe,e utsin kʼenétsʼók,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pointed-nose snowshoe,e utsin kenedlyat,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
round-nose snowshoe,e sanámáʼ,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
round-nose snowshoe,e uttíʼ delrúnʼ,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
foot straps (snowshoe),e kénchʼáák,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
trail snowshoe,tangéʼ huʼéʼ,transportation,snowshoe,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
steamboat,tsʼi tsʼecho,transportation,boat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
toboggan,dlu,transportation,toboggan,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
birch toboggan,kʼi dlu,transportation,toboggan,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
toboggan brake,uzhí hutsʼenetsʼáwʼ,transportation,toboggan,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
toboggan brake,uka detsʼedeʼyóʼ,transportation,toboggan,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
handlebars (toboggan),dlu tlʼéchínʼ,transportation,toboggan,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
runners (toboggan),dlu tlʼa hedle,transportation,toboggan,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
alder (grey),kesro,"trees, plants, berries",alder,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
alder (red),kʼro,"trees, plants, berries",alder,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
"alder ""ear""",kʼro dzák,"trees, plants, berries",alder,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
birch,kʼi,"trees, plants, berries",birch,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
"birch ""ear""",kʼedzák,"trees, plants, berries",birch,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
inside bark (birch),kʼi syak,"trees, plants, berries",birch,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
outside bark (birch),kʼi tʼyúnʼ,"trees, plants, berries",birch,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
cottonwood,łedun tʼo,"trees, plants, berries",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
jackpine,gunʼ,"trees, plants, berries",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
poplar,tʼo,"trees, plants, berries",poplar,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
poplar sap,tʼó kʼánʼ,"trees, plants, berries",poplar,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce,tsʼok,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
small red spruce,tsʼok mbra,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce bark,tsʼok tʼyúnʼ,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce branch (dry),thungáánʼ,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce boughs,tsʼok áwʼ,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce cone,daladzan,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce cone,tsʼok dádzáwʼ,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce gum,tsʼók dzíʼ,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
hard gum (spruce),dzíʼ delon,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
sticky gum (spruce),dzíʼ tlʼrúʼ,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce limb,tsʼok thúnʼáwʼ,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce needles,tsʼagat,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce needles,dagat,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
spruce roots,khay,"trees, plants, berries",spruce,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
tamarack,ézhúnʼ nyan,"trees, plants, berries",willow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
willow,kʼáyʼ,"trees, plants, berries",willow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
dry willow used for firewood,kʼáyʼ tso,"trees, plants, berries",willow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grey willow,kʼáyʼ the,"trees, plants, berries",willow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
red willow shoots,kʼáy drun,"trees, plants, berries",willow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
willow ashes used for tobacco,kʼáyʼ lyóʼ,"trees, plants, berries",willow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
willow roots used for rope,kʼáyʼ tlʼak,"trees, plants, berries",willow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
willow used for rope,kʼáyʼ chʼát,"trees, plants, berries",willow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
bluebell,lasháʼ,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
bluebell,losha,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
buckbrush,łruan,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
burrs,hudzak,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
burrs,hudzyak,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
bushes (thick),hudetsʼáwʼ,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
carrot-like root,ttha,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
catkins,gúnʼ kʼálatro,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
cotton-like fireweed,gúnʼ kʼálatro,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
fireweed,tsʼekʼan gúnʼ,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
fox tail,tlʼo tlʼaat léʼ,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
"fungus (""ear-like"" growth on tree)",łetyáʼ,"trees, plants, berries",fungus,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
"fungus (""ear-like"" growth on tree)",trotyáʼ,"trees, plants, berries",fungus,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
"fungus (""jelly-like"" growth on wood)",tso yíntʼróʼ,"trees, plants, berries",fungus,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grass,tlʼo,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
knot on tree,sráʼ,"trees, plants, berries",wood,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
Labrador tea,tsʼágóʼ,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
leaf,intʼen,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
lichen (cariboo feed),udzi júʼ,"trees, plants, berries",lichen,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
lichen (cariboo feed),ejúʼ,"trees, plants, berries",lichen,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
lichen (?) (acid-like stain on rock),tthi tʼók,"trees, plants, berries",lichen,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
moss,nínmbáyʼ,"trees, plants, berries",moss,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
lake moss,tádlaat,"trees, plants, berries",moss,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
lake moss,tetlok,"trees, plants, berries",moss,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
red moss,nínmbáyʼ detʼaw,"trees, plants, berries",moss,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
white moss,níngay,"trees, plants, berries",moss,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
mushroom,,"trees, plants, berries",dlák nínʼ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grey-top mushroom,kachéchʼák,"trees, plants, berries",mushroom,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
orange-top mushroom,dlák ndíʼ,"trees, plants, berries",mushroom,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
poque plant,sra tsók,"trees, plants, berries",mushroom,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
puffball,chen ghróʼ,"trees, plants, berries",mushroom,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
largest puffballs,nan tʼyók,"trees, plants, berries",mushroom,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
rhubarb,tsʼegúnʼ,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
strawberry blite,tlin tsin daw,"trees, plants, berries",berry,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
stump,nunchan,"trees, plants, berries",wood,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
thorn,khro,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
thornbush,khro,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
water lily,katʼaak,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
water lily,kadatʼaak,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
weed (any),gun,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
weed (any),guan,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wild celery,intsʼyan,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wild onion,dan nekhrúnʼ tlʼóʼ,"trees, plants, berries",plant,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
wood,dechan,"trees, plants, berries",wood,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
stick,dechan,"trees, plants, berries",wood,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
driftwood,tádóʼ,"trees, plants, berries",wod,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
firewood,tso,"trees, plants, berries",wod,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
twisted-grain wood,tso nédóʼ,"trees, plants, berries",wood,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
unidentified plants,neshúnʼ khen,"trees, plants, berries",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
unidentified plants,nakadáyʼ,"trees, plants, berries",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
unidentified plants,tantsánʼ,"trees, plants, berries",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
